Step Number,Mean,Standard Deviation,Standard Error
0,-0.00021322413958623334,0.06477799847313867,0.0003173486244351058
1,-0.0007432744203907268,0.5656160272811005,0.0027709634821541807
2,-0.0006194646954351269,0.5610982736644476,0.002748830922804172
3,-0.00026133178130850076,0.1431902821232339,0.0007014918666115626
4,-0.0002861175058800942,0.12630462225458045,0.0006187687035268264
5,-0.00021949601593625507,0.12195588123759864,0.0005974641400594021
6,-0.00023209580953295264,0.12066155548569288,0.0005911232140255643
7,-0.0002503779580473289,0.11893026843144884,0.0005826416064100638
8,-0.0006603047088753419,0.1149509246075949,0.0005631467266913266
9,-0.0005986637546200739,0.1382962665542395,0.0006775159929292599
10,-0.0005261236739787837,0.16415029607382234,0.0008041753664439645
11,-0.00026701416022656367,0.06454328186627484,0.00031619874339407304
12,-0.0005602254836077376,0.1847852948967398,0.0009052666110953154
13,-0.0005621005376086018,0.17084780699017998,0.000836986597518456
14,-0.0005198528776460421,0.25857207850811076,0.0012667494421875617
15,-9.732594921518735e-05,0.2793929360643477,0.0013687512122448901
16,-0.0001969933758940143,0.24678203430449885,0.001208989795421124
17,-0.00019687908606537725,0.19070492648835038,0.00093426699682874
18,-0.00016429930878894075,0.22804616206462708,0.0011172024073717584
19,-0.00030809326549224777,0.12386036710229939,0.0006067942518823154
20,-0.0005134047664762638,0.12938764847292455,0.000633872506554865
21,-0.0007227101713627417,0.13084985478670494,0.0006410358825969782
22,-0.0002365467287476599,0.06392665426501243,0.00031317787325819675
23,-0.0006798756060096961,0.13605512874356065,0.000666536616935058
24,-0.0006209240387846205,0.13861929485608068,0.0006790985146134614
25,-0.000664758172130754,0.13936223208229756,0.0006827381779611848
26,-0.0005787399558392934,0.14350105084246514,0.000703014328371575
27,-0.0006054602313637018,0.14506928206188174,0.0007106971224067198
28,-0.0006276082657322517,0.14981804939995208,0.0007339614222927975
29,-0.000582605385686171,0.15383086882871658,0.0007536202996252446
