Signal,Mean,Standard Deviation,Standard Error
Generated Sine Wave,(-6.843062605242636e-13+0j),6.905794595056059e-13,6.90579459505606e-14
Kernel Function Morlet wavelet,(0.023925690473745282+2.688821387764051e-18j),0.22228041651067418,0.04970341213848341
Resulting Signal,(-2.7516806350503587e-13-6.788181234842992e-30j),7.684654611314441e-13,7.044511332372862e-14
