Signal,Mean,Standard Deviation,Standard Error
Generated Sine Wave,-6.843062605242636e-13,6.905794595056059e-13,6.90579459505606e-14
Kernel Function B,0.5,0.5,0.15811388300841897
Resulting Signal,-3.139019543689283e-12,2.2742978240694982e-12,2.178382236315035e-13
