Signal,Mean,Standard Deviation,Standard Error
Generated Sine Wave,-6.843062605242636e-13,6.905794595056059e-13,6.90579459505606e-14
Kernel Function Ricker wavelet,-2.2961598085130707e-08,0.22224112623996306,0.04969462656686696
Resulting Signal,2.640800894815112e-19,5.89653603197521e-13,5.4053457181843675e-14
