Signal,Mean,Standard Deviation,Standard Error
Generated Sine Wave,-6.843062605242636e-13,6.905794595056059e-13,6.90579459505606e-14
Kernel Function E,0.0,1.0,0.31622776601683794
Resulting Signal,-1.482190031094158e-29,2.3785525110113205e-12,2.2782401158254147e-13
